Crystal Palace,CYP,"London, UK","driving",12226.0,1453.0
Cuffley,CUF,"London, UK","driving",28503.0,2902.0
Cuxton,CUX,"London, UK","driving",49614.0,3077.0
Dagenham Dock,DDK,"London, UK","driving",24605.0,1858.0
Dalston Junction,DLJ,"London, UK","driving",6870.0,941.0
Dalston Kingsland,DLK,"London, UK","driving",7300.0,1008.0
Dartford,DFD,"London, UK","driving",29645.0,2599.0
Datchet,DAT,"London, UK","driving",33635.0,2329.0
Denham,DNM,"London, UK","driving",30945.0,2195.0
Denham Golf Club,DGC,"London, UK","driving",32827.0,2314.0
Denmark Hill,DMK,"London, UK","driving",6481.0,798.0
Deptford,DEP,"London, UK","driving",9022.0,1064.0
Dorking Deepdene,DPD,"London, UK","driving",39832.0,3595.0
Dorking (Main),DKG,"London, UK","driving",40622.0,3406.0
Dorking West,DKT,"London, UK","driving",41851.0,3519.0
Dormans,DMS,"London, UK","driving",45810.0,4003.0
Drayton Green,DRG,"London, UK","driving",20408.0,1787.0
Drayton Park,DYP,"London, UK","driving",6675.0,910.0
Dunton Green,DNG,"London, UK","driving",37026.0,3330.0
Ealing Broadway,EAL,"London, UK","driving",18295.0,1746.0
Earlsfield,EAD,"London, UK","driving",11176.0,1260.0
Earlswood (Surrey),ELD,"London, UK","driving",35722.0,3526.0
East Croydon,ECR,"London, UK","driving",18103.0,2037.0
East Dulwich,EDW,"London, UK","driving",9670.0,1143.0
East Grinstead,EGR,"London, UK","driving",49097.0,4194.0
East Tilbury,ETL,"London, UK","driving",46790.0,2948.0
Ebbsfleet International,EBD,"London, UK","driving",37605.0,2597.0
Eden Park,EDN,"London, UK","driving",18334.0,2116.0
Edmonton Green,EDR,"London, UK","driving",17957.0,2011.0
Effingham Junction,EFF,"London, UK","driving",39815.0,2997.0
Egham,EGH,"London, UK","driving",36953.0,2525.0
Elephant & Castle,EPH,"London, UK","driving",3529.0,449.0
Elephant & Castle (Underground),ZEL,"London, UK","driving",3536.0,451.0
Elmers End,ELE,"London, UK","driving",16013.0,1877.0
Elmstead Woods,ESD,"London, UK","driving",19597.0,2046.0
Elstree & Borehamwood,ELS,"London, UK","driving",24279.0,2258.0
Eltham,ELW,"London, UK","driving",15702.0,1774.0
Emerson Park,EMP,"London, UK","driving",29204.0,2686.0
Enfield Chase,ENC,"London, UK","driving",19677.0,2304.0
Enfield Lock,ENL,"London, UK","driving",22766.0,2415.0
Enfield Town,ENF,"London, UK","driving",19814.0,2265.0
Epsom Downs,EPD,"London, UK","driving",29237.0,2673.0
Epsom (Surrey),EPS,"London, UK","driving",27227.0,2526.0
Erith,ERH,"London, UK","driving",27295.0,2564.0
Esher,ESH,"London, UK","driving",27932.0,2432.0
Essex Road,EXR,"London, UK","driving",5863.0,773.0
Ewell East,EWE,"London, UK","driving",25885.0,2379.0
Ewell West,EWW,"London, UK","driving",25443.0,2361.0
Eynsford,EYN,"London, UK","driving",33883.0,2924.0
Falconwood,FCN,"London, UK","driving",17809.0,1873.0
Farningham Road,FNR,"London, UK","driving",33453.0,2785.0
Farringdon,ZFD,"London, UK","driving",2331.0,346.0
Feltham,FEL,"London, UK","driving",27593.0,2289.0
Finchley Road & Frognal,FNY,"London, UK","driving",10076.0,1203.0
Finsbury Park,FPK,"London, UK","driving",8124.0,986.0
Ford,FOD,"London, UK","driving",11411.0,1338.0
Forest Gate,FOG,"London, UK","driving",13035.0,1435.0
Forest Hill,FOH,"London, UK","driving",11410.0,1391.0
Garston (Hertfordshire),GSN,"London, UK","driving",31164.0,2363.0
Gatwick Airport,GTW,"London, UK","driving",45727.0,3564.0
Gerrards Cross,GER,"London, UK","driving",34997.0,2370.0
Gidea Park,GDP,"London, UK","driving",29086.0,2628.0
Gipsy Hill,GIP,"London, UK","driving",11532.0,1383.0
Godstone,GDN,"London, UK","driving",33037.0,3169.0
Goodmayes,GMY,"London, UK","driving",22246.0,1891.0
Gordon Hill,GDH,"London, UK","driving",21041.0,2485.0
Gospel Oak,GPO,"London, UK","driving",6758.0,927.0
Gravesend,GRV,"London, UK","driving",42396.0,2896.0
Grays,GRY,"London, UK","driving",36872.0,2435.0
Green Lane,GNL,"London, UK","driving",22380.0,1903.0
Greenford,GFD,"London, UK","driving",20044.0,1683.0
Greenhithe,GNH,"London, UK","driving",36444.0,2687.0
Greenwich,GNW,"London, UK","driving",11161.0,1262.0
Grove Park,GRP,"London, UK","driving",15228.0,1659.0
Guildford,GLD,"London, UK","driving",49894.0,3199.0
Gunnersbury,GUN,"London, UK","driving",12358.0,1305.0
Hackbridge,HCB,"London, UK","driving",17933.0,1990.0
Hackney Central,HKC,"London, UK","driving",8144.0,1073.0
Hackney Downs,HAC,"London, UK","driving",7890.0,1010.0
Hackney Wick,HKW,"London, UK","driving",9393.0,1190.0
Hadley Wood,HDW,"London, UK","driving",22784.0,2645.0
Hampstead Heath,HDH,"London, UK","driving",7695.0,1030.0
Hampton Court,HMC,"London, UK","driving",21520.0,2356.0
Hampton (London),HMP,"London, UK","driving",23594.0,2565.0
Hampton Wick,HMW,"London, UK","driving",21995.0,2466.0
Harlesden,HDN,"London, UK","driving",12108.0,1400.0
Harlow Town,HWN,"London, UK","driving",49011.0,3091.0
Harold Wood,HRO,"London, UK","driving",32461.0,2815.0
Harringay,HGY,"London, UK","driving",10606.0,1269.0
Harringay Green Lanes,HRY,"London, UK","driving",9956.0,1193.0
Harrow & Wealdstone,HRW,"London, UK","driving",23555.0,2241.0
Harrow-on-the-Hill,HOH,"London, UK","driving",21291.0,2004.0
Hatch End,HTE,"London, UK","driving",30488.0,2524.0
Hatfield (Herts),HAT,"London, UK","driving",36613.0,2881.0
Haydons Road,HYR,"London, UK","driving",13164.0,1571.0
Hayes & Harlington,HAY,"London, UK","driving",23465.0,1932.0
Hayes (Kent),HYS,"London, UK","driving",22601.0,2381.0
Headstone Lane,HDL,"London, UK","driving",29321.0,2472.0
Heathrow Airport Terminal 4,HAF,"London, UK","driving",27408.0,2174.0
Heathrow Airport Terminal 5,HWV,"London, UK","driving",32372.0,2285.0
"Heathrow Airport Terminals 1, 2 and 3",HXX,"London, UK","driving",27774.0,2141.0
Hemel Hempstead,HML,"London, UK","driving",42651.0,2757.0
Hendon,HEN,"London, UK","driving",13059.0,1673.0
Herne Hill,HNH,"London, UK","driving",7889.0,934.0
Hersham,HER,"London, UK","driving",30411.0,2657.0
Hertford East,HFE,"London, UK","driving",40254.0,3358.0
Hertford North,HFN,"London, UK","driving",48700.0,3343.0
High Street Kensington Underground,ZHS,"London, UK","driving",8400.0,1050.0
Higham (Kent),HGM,"London, UK","driving",48702.0,3007.0
Highams Park,HIP,"London, UK","driving",28674.0,2158.0
Highbury & Islington,HHY,"London, UK","driving",5672.0,786.0
Hinchley Wood,HYW,"London, UK","driving",25850.0,2219.0
Hither Green,HGR,"London, UK","driving",12678.0,1422.0
Holmwood,HLM,"London, UK","driving",45512.0,3970.0
